Max Reward,[5660.306399719999, 10653.790252670004, 11536.203083260001, 19774.357501749997, 29802.81471629, 33641.96315289, 35926.833584010004, 37037.76341579]
Episode,[200, 400, 600, 800, 1000, 1200, 1400, 1600]
