#{"t_start": 1678088637.1918976, "env_id": null}
r,l,t
1195.954203,1,4.351161
40000,1,29.844512
2981.364808,1,51.191263
1178.229811,1,54.063489
40000,1,66.243362
40000,1,80.931889
1161.195507,1,90.461217
1180.875905,1,101.7722
40000,1,112.788306
1186.786021,1,115.715017
1240.611224,1,127.314654
40000,1,141.339109
40000,1,151.67008
1322.849423,1,157.501457
40000,1,162.293231
1155.22901,1,177.055048
40000,1,182.448273
1222.114966,1,195.366941
40000,1,205.45611
1173.075114,1,217.895364
1174.779863,1,232.635142
40000,1,236.782624
1155.877714,1,251.725872
40000,1,274.210994
40000,1,285.284889
1188.466152,1,289.30881
40000,1,312.470273
40000,1,316.819475
3008.359555,1,334.234299
1166.729691,1,337.075018
40000,1,350.289977
2993.150948,1,373.059241
40000,1,378.20171
1234.976726,1,389.267824
40000,1,400.816552
1169.768074,1,415.363781
40000,1,430.097605
40000,1,436.941698
40000,1,442.063524
1164.272358,1,451.341605
2970.976749,1,464.902632
40000,1,473.8071
1504.463524,1,488.080471
40000,1,503.785979
40000,1,517.29777
1199.91406,1,537.079102
40000,1,555.595173
40000,1,559.085719
40000,1,579.939071
1206.928422,1,596.168395
2969.851942,1,616.851941
1157.713657,1,620.029846
40000,1,633.3643
40000,1,648.965275
1174.113041,1,654.655081
40000,1,668.56706
1181.353334,1,674.256234
40000,1,690.179398
40000,1,710.852338
1160.82646,1,725.448
40000,1,745.876789
1168.015865,1,758.659436
1186.028597,1,774.989741
40000,1,790.894463
40000,1,808.856902
1184.850369,1,816.650954
2959.67608,1,839.857403
1247.510941,1,846.644436
1223.313223,1,859.923824
40000,1,873.282988
1232.403645,1,881.667131
1167.841482,1,896.412022
40000,1,912.644928
40000,1,926.577721
40000,1,940.049373
40000,1,949.149109
40000,1,963.859114
40000,1,978.411914
1168.515185,1,990.076274
2984.112355,1,1003.803824
1156.823627,1,1006.726468
1193.130801,1,1019.10204
1153.378471,1,1029.594015
1152.530911,1,1043.871989
2971.051888,1,1065.491262
40000,1,1081.337226
1176.277862,1,1086.283041
40000,1,1095.504492
1177.897101,1,1111.08548
1175.857353,1,1125.615296
40000,1,1136.285433
40000,1,1152.399993
40000,1,1155.763322
1154.487367,1,1169.462507
2001.351816,1,1195.397397
1229.255333,1,1203.795783
40000,1,1223.626984
1201.721446,1,1232.331201
1178.76502,1,1243.543223
40000,1,1255.424155
40000,1,1268.638221
40000,1,1283.498224
1184.612826,1,1296.659996
40000,1,1306.49589
3002.702686,1,1334.630434
40000,1,1338.054245
1166.20787,1,1350.381819
40000,1,1372.749777
40000,1,1383.351189
40000,1,1395.739487
1298.139426,1,1403.950121
40000,1,1420.085719
40000,1,1427.33077
1181.511537,1,1438.015082
1229.457532,1,1460.15512
2969.587881,1,1499.455895
1189.995773,1,1508.034215
2971.13091,1,1535.115108
40000,1,1541.475755
