#{"t_start": 1678088637.0556862, "env_id": null}
r,l,t
40000,1,4.760461
2774.376786,1,34.868821
1204.7396,1,38.240196
1164.933414,1,54.210442
2972.4033,1,74.522978
1205.819356,1,79.667331
1197.706446,1,93.858879
1161.653545,1,102.232274
40000,1,110.564438
2976.052051,1,122.720789
40000,1,126.379288
1162.322368,1,142.630709
1191.978133,1,151.488029
40000,1,158.663522
1188.657603,1,165.131767
1258.724633,1,179.504706
40000,1,186.470464
2991.677198,1,202.476834
1159.332684,1,205.350075
1211.223619,1,218.835355
40000,1,232.636199
1178.316669,1,237.399716
2982.091171,1,271.708852
1175.530325,1,274.613238
1172.060861,1,285.70523
1189.655859,1,289.576781
1720.672625,1,312.673125
1185.171311,1,315.650623
1231.010147,1,325.230388
40000,1,342.254795
40000,1,354.20863
1174.511284,1,357.045086
40000,1,377.696851
2987.314799,1,398.332211
1356.673457,1,404.285493
1229.179033,1,417.261825
40000,1,430.519458
40000,1,436.960584
1153.245043,1,441.179812
1229.004423,1,453.247464
1318.03138,1,459.194996
40000,1,476.876405
1406.844191,1,486.117001
1215.821409,1,506.263662
1188.623112,1,517.139287
2968.984539,1,547.259493
1164.690064,1,550.785242
40000,1,558.761249
1156.14733,1,579.509093
1171.90528,1,591.845394
1177.854246,1,608.187306
40000,1,620.399278
40000,1,637.27973
1665.401127,1,646.276095
40000,1,657.776676
40000,1,667.975305
1205.796413,1,674.746886
2979.608071,1,707.897139
40000,1,715.667401
2982.694051,1,742.637807
40000,1,755.693164
2969.679903,1,770.22081
40000,1,775.494277
1163.765678,1,790.407267
1178.952912,1,807.318127
40000,1,818.263352
1358.82721,1,833.096221
1199.675307,1,845.023469
40000,1,868.232976
1176.043287,1,873.872457
1190.075033,1,880.976615
1191.40459,1,896.687256
1181.030534,1,912.791553
1273.71666,1,929.525278
40000,1,940.034415
1233.740012,1,949.923266
1208.974889,1,966.925851
1360.881344,1,980.569369
40000,1,990.333155
1209.846805,1,996.653685
40000,1,1007.119324
40000,1,1025.653471
40000,1,1031.800184
40000,1,1044.582788
40000,1,1056.980072
40000,1,1070.103422
1235.126483,1,1088.832744
40000,1,1101.43371
2970.909056,1,1118.191433
