#{"t_start": 1678088636.3427281, "env_id": null}
r,l,t
1179.122598,1,4.902564
40000,1,26.957577
40000,1,46.753917
2976.947774,1,64.456038
1166.931066,1,67.369478
40000,1,79.973786
40000,1,92.212833
1170.62331,1,103.100281
1167.594661,1,111.492551
40000,1,119.007823
1184.047599,1,126.359953
40000,1,142.253877
40000,1,152.710942
1161.716852,1,156.540356
2980.314011,1,175.092995
1186.977026,1,178.068693
1183.811511,1,183.293298
40000,1,195.592089
2665.963587,1,216.036099
1159.521208,1,218.888196
40000,1,233.316774
40000,1,237.975246
2978.539611,1,270.808681
1206.141113,1,276.450807
1182.601803,1,284.793949
2975.201725,1,305.122943
1440.991413,1,312.289369
1160.387521,1,315.780031
40000,1,324.848202
40000,1,338.759247
40000,1,351.262976
1185.116034,1,362.905981
40000,1,385.945608
1181.722228,1,390.461376
1163.071454,1,402.01909
40000,1,425.51304
40000,1,432.551163
1165.120141,1,439.08724
1152.177523,1,443.324438
1160.505272,1,453.825039
2980.394911,1,468.895488
1158.619634,1,471.599253
1158.285167,1,486.310594
1177.102821,1,504.722263
1169.75146,1,517.584259
2966.955248,1,548.884312
40000,1,554.938724
40000,1,561.945859
1291.766738,1,581.708186
1169.024954,1,594.680646
40000,1,609.779612
1207.465641,1,622.709329
40000,1,631.553383
1177.322497,1,641.312345
1176.422509,1,655.309571
40000,1,672.150304
1208.109769,1,678.643306
40000,1,691.398576
1196.753134,1,715.532147
1175.41209,1,726.656222
40000,1,747.411886
1182.881386,1,759.589823
40000,1,775.647317
1194.040838,1,791.893904
1358.180801,1,810.759516
40000,1,823.284208
40000,1,835.353052
1275.982788,1,847.552369
40000,1,859.466728
1215.883492,1,873.070555
2974.974199,1,892.565014
2973.187484,1,910.618201
1196.144608,1,913.826895
40000,1,928.184721
2812.762848,1,947.162289
1163.968267,1,950.189803
40000,1,964.552439
1210.216547,1,980.147979
40000,1,989.069246
40000,1,997.764445
1202.348274,1,1009.622124
40000,1,1019.869472
40000,1,1030.985353
40000,1,1045.408213
1177.335724,1,1053.81989
1208.854392,1,1070.057367
40000,1,1087.723905
40000,1,1099.003058
40000,1,1110.403938
40000,1,1123.607487
1229.297988,1,1135.256516
40000,1,1144.172259
40000,1,1156.770089
2992.707562,1,1185.073641
2979.459929,1,1200.742913
2973.312105,1,1219.880863
40000,1,1223.077176
2982.030054,1,1238.632357
2976.456189,1,1253.056757
1194.857793,1,1257.087322
40000,1,1270.487839
2977.312684,1,1294.133742
2971.314152,1,1304.334296
1153.448017,1,1306.985508
1161.754699,1,1323.643838
40000,1,1341.372217
3017.130133,1,1364.515318
1353.608014,1,1371.148245
1184.369146,1,1382.94969
40000,1,1387.317384
2979.541599,1,1414.233198
1244.270128,1,1418.176265
1191.044913,1,1427.127363
40000,1,1439.250431
40000,1,1460.027433
2963.210574,1,1502.967796
40000,1,1512.440333
1262.645207,1,1526.601907
40000,1,1538.86087
2976.855966,1,1567.503475
40000,1,1570.702539
40000,1,1588.782871
1160.352492,1,1591.33529
1210.471138,1,1605.179621
2960.01818,1,1631.357869
40000,1,1635.920122
40000,1,1649.874161
40000,1,1662.615791
40000,1,1683.728635
40000,1,1692.628291
1632.936796,1,1715.692744
1223.397425,1,1723.69228
40000,1,1740.255915
40000,1,1755.525317
40000,1,1776.371358
1249.449619,1,1785.498109
1197.513759,1,1799.871564
1171.314941,1,1807.312854
40000,1,1813.314473
40000,1,1827.123723
40000,1,1843.176493
1192.661855,1,1855.859802
40000,1,1871.918517
40000,1,1886.401643
40000,1,1898.85946
40000,1,1915.087116
1163.484076,1,1931.386464
40000,1,1937.971971
1453.046939,1,1956.238956
40000,1,1961.355812
1459.554349,1,1979.098493
3007.6059,1,2000.955986
40000,1,2011.624401
1195.865081,1,2017.385308
2984.065003,1,2039.872344
2992.570129,1,2063.315429
40000,1,2071.380792
1288.94736,1,2078.8087
40000,1,2091.190089
2970.070118,1,2115.015188
40000,1,2119.043658
40000,1,2129.721762
1172.256005,1,2142.144601
40000,1,2164.344616
2657.243664,1,2185.49853
40000,1,2191.947621
2979.504383,1,2220.485863
40000,1,2230.614568
40000,1,2239.062099
40000,1,2249.254004
40000,1,2262.736201
40000,1,2283.346627
2965.851523,1,2301.935325
40000,1,2304.782543
2980.602308,1,2333.477804
40000,1,2338.233954
40000,1,2358.589636
40000,1,2368.640972
40000,1,2389.012836
40000,1,2392.466898
2981.46048,1,2424.186485
40000,1,2428.150851
40000,1,2441.419328
2966.976835,1,2469.432751
2969.565184,1,2488.512942
40000,1,2495.434911
2971.418887,1,2515.533999
2962.832547,1,2536.659705
40000,1,2540.735143
2984.497788,1,2566.320533
40000,1,2569.721695
40000,1,2590.628764
40000,1,2598.047817
40000,1,2615.012197
40000,1,2627.501034
40000,1,2650.376672
40000,1,2659.187261
2994.822188,1,2684.684037
3054.158846,1,2698.126629
40000,1,2701.346958
2707.441958,1,2730.246593
40000,1,2734.926701
40000,1,2746.295686
2972.470595,1,2771.770147
40000,1,2778.677851
40000,1,2790.739785
2968.27414,1,2813.480846
40000,1,2823.15344
1220.267051,1,2839.005546
40000,1,2848.437671
40000,1,2857.389448
40000,1,2867.85244
40000,1,2885.792531
40000,1,2901.54624
40000,1,2926.538905
40000,1,2941.748136
40000,1,2956.143428
40000,1,2975.747691
2990.808373,1,3001.519686
40000,1,3005.618524
40000,1,3018.276224
40000,1,3024.029791
40000,1,3035.717845
2895.848879,1,3068.720844
40000,1,3080.407975
2967.068675,1,3096.623892
40000,1,3102.778001
2971.764009,1,3127.479976
40000,1,3132.675907
1290.456156,1,3142.200152
40000,1,3160.524282
40000,1,3169.692211
40000,1,3186.076403
1243.621356,1,3192.628365
40000,1,3211.734803
40000,1,3223.975791
40000,1,3237.020578
40000,1,3243.688338
2957.430094,1,3272.1944
2963.048845,1,3290.768853
40000,1,3294.69123
40000,1,3311.5794
40000,1,3325.716208
2966.928556,1,3351.404169
40000,1,3354.903561
40000,1,3366.362516
40000,1,3384.255239
40000,1,3398.157842
40000,1,3409.150849
40000,1,3433.338861
40000,1,3439.845755
40000,1,3465.086542
40000,1,3480.156776
1593.652567,1,3501.562973
2967.621119,1,3520.498468
40000,1,3525.189494
2981.97388,1,3550.377209
1528.307361,1,3557.584631
2348.437192,1,3579.398015
40000,1,3591.135
40000,1,3601.497145
1623.302957,1,3617.13881
40000,1,3627.235487
40000,1,3636.872582
40000,1,3654.101475
40000,1,3666.249613
40000,1,3683.350768
40000,1,3690.198586
40000,1,3700.711002
1572.265901,1,3716.921758
40000,1,3729.034297
2962.35572,1,3746.230562
40000,1,3749.48839
2459.721415,1,3774.235645
40000,1,3782.277723
40000,1,3797.830124
40000,1,3817.085433
2969.094812,1,3829.553386
40000,1,3838.590962
40000,1,3842.488211
40000,1,3859.296934
1598.238733,1,3875.252379
1627.656277,1,3885.303119
40000,1,3892.469784
40000,1,3905.628167
40000,1,3917.753706
1633.430622,1,3934.568806
1830.332206,1,3948.444462
3019.972351,1,3964.505382
40000,1,3975.12827
40000,1,3988.539027
40000,1,4002.270661
40000,1,4022.797927
40000,1,4035.188673
40000,1,4045.230918
40000,1,4051.496592
40000,1,4074.246987
40000,1,4077.472073
1395.284584,1,4089.76823
1598.899316,1,4106.68805
40000,1,4114.739576
2961.044292,1,4132.60633
40000,1,4137.788245
40000,1,4149.366599
40000,1,4164.235494
40000,1,4175.018404
40000,1,4180.771284
