Max Reward,[19097.852862749998, 20776.337037049998, 20892.91459625, 26682.462831550005, 30486.709754449996, 34357.6106474, 36272.8827905, 36298.556993549995, 36299.2080541, 38071.8711303, 38081.59038195, 38119.084395900005, 38122.109748200004, 38150.56689005, 40000.0]
Episode,[20, 60, 120, 480, 1220, 1620, 1940, 2260, 2760, 3040, 3540, 4000, 4260, 4380, 5060]
