Max Reward,[1200.3631912600001, 1201.17607519, 1210.53082052, 1214.3982559400001, 1241.67554735, 1266.30633623, 1393.22337719, 1616.1908638, 1798.71131838, 2164.735426779999, 3246.68905808, 3407.2495556999997, 5395.09558173, 6622.6042447, 9985.57922564, 15158.24819649, 16646.27993457, 18877.26074325, 22590.90356938, 24453.58512459, 25193.429161919998, 27048.942746630004, 27800.67009544, 30384.28940688, 32231.53500647, 33711.2185314, 34826.52245786, 35192.18838558, 36301.47912116, 36670.61526974, 37410.64476395, 37779.97740419, 39259.09700807, 39259.90794608, 39260.476739499994]
Episode,[200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2800, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5600, 5800, 6000, 7200, 7600, 8000, 8200, 8400, 8600, 8800, 9600, 10000, 13000]
