Max Reward,[9139.606236399999, 12918.14178355, 14504.687357699999, 14740.016198899999, 14815.44320645, 14856.426069800003, 18864.1609079, 28327.8970359, 28374.8950215, 30101.9970178, 30320.46301165, 34076.38010255, 38006.7751149, 40000.0]
Episode,[20, 60, 100, 220, 380, 400, 440, 1080, 1960, 2040, 2120, 2340, 3200, 7600]
