#{"t_start": 1678173247.1915462, "env_id": null}
r,l,t
1208.035452,1,4.721939
2348.227355,1,33.675641
1286.023474,1,45.229762
40000,1,63.758463
40000,1,86.93857
40000,1,102.522114
40000,1,129.250223
1170.10136,1,136.174361
40000,1,158.363163
2961.291828,1,189.419577
40000,1,199.741606
40000,1,222.058076
40000,1,233.49019
2965.378814,1,256.111955
40000,1,266.753055
1195.123086,1,279.829156
2964.652873,1,306.982318
2975.881716,1,326.7379
2954.219619,1,348.624306
40000,1,359.61148
40000,1,373.581815
40000,1,390.49973
40000,1,406.869403
40000,1,424.341624
1187.908864,1,436.109553
1363.690388,1,459.800488
40000,1,474.917035
40000,1,494.074908
1181.027031,1,509.62832
1190.065822,1,523.184847
40000,1,540.133538
40000,1,550.996909
40000,1,567.824238
40000,1,579.923609
2688.69516,1,611.729691
3000.069846,1,635.118704
40000,1,644.06024
40000,1,664.639843
40000,1,679.732338
40000,1,699.781254
3010.015847,1,728.927292
1464.54812,1,734.772555
40000,1,752.797473
1760.531842,1,780.153433
40000,1,795.738199
2946.721829,1,820.21279
2960.420514,1,834.730803
40000,1,840.343272
40000,1,852.212319
1316.9625,1,857.175051
40000,1,881.878626
2969.353533,1,908.493333
1207.424212,1,913.711905
2915.836686,1,941.832729
40000,1,948.503188
1182.941326,1,965.864799
1200.539089,1,985.286469
40000,1,1015.672791
1241.29191,1,1025.558389
40000,1,1048.678281
40000,1,1058.364073
2966.978555,1,1080.825179
40000,1,1094.301184
40000,1,1107.785805
2049.397804,1,1130.76908
40000,1,1149.649796
40000,1,1155.259663
2625.719887,1,1190.482171
40000,1,1200.233447
40000,1,1215.356158
1214.379459,1,1231.283666
2946.184495,1,1252.554014
40000,1,1260.926221
1173.076922,1,1280.915764
1346.793707,1,1303.650297
40000,1,1320.943415
40000,1,1331.638938
40000,1,1347.672283
40000,1,1359.777561
40000,1,1376.986387
2955.351348,1,1400.445467
40000,1,1407.791505
1183.963141,1,1423.658872
1246.462677,1,1438.464741
1224.433262,1,1452.123998
1212.118438,1,1470.507997
1200.450488,1,1493.367192
40000,1,1515.495385
40000,1,1534.795881
40000,1,1542.433393
1225.466617,1,1560.46384
2963.81526,1,1586.700745
2967.43614,1,1609.777821
1285.83904,1,1617.852785
2960.839589,1,1642.092979
2977.877942,1,1663.793432
40000,1,1672.743195
2986.961312,1,1693.243173
1266.075849,1,1697.727392
40000,1,1711.763561
40000,1,1735.212929
2966.717039,1,1760.140212
40000,1,1770.489545
2950.721385,1,1792.492818
40000,1,1801.771855
40000,1,1818.538693
40000,1,1842.791943
1182.042424,1,1853.342674
1186.219118,1,1872.876726
40000,1,1889.560966
40000,1,1902.404541
40000,1,1918.49318
1172.638725,1,1938.410367
2986.325699,1,1970.315285
40000,1,1978.399544
1201.773919,1,1982.838282
40000,1,2000.433564
2916.353518,1,2038.696819
1229.597048,1,2043.653968
40000,1,2063.189921
40000,1,2078.411268
40000,1,2100.902857
3029.706401,1,2131.520271
40000,1,2144.446762
40000,1,2165.512781
2989.350865,1,2190.458759
40000,1,2197.860439
40000,1,2208.191881
1202.767707,1,2218.877266
1190.43123,1,2239.889349
3013.197918,1,2259.99161
40000,1,2267.858016
1169.406668,1,2279.941057
1370.722989,1,2301.296592
40000,1,2315.662605
40000,1,2331.590206
1264.309204,1,2339.467559
40000,1,2358.495456
40000,1,2374.640895
1236.567655,1,2395.424051
40000,1,2418.427518
1242.242364,1,2434.141464
1236.897634,1,2457.379924
1220.364277,1,2474.436479
2982.564181,1,2504.463852
40000,1,2513.253711
40000,1,2529.133227
40000,1,2544.176965
2973.745171,1,2565.667784
40000,1,2574.235739
1191.019895,1,2593.039327
2898.06164,1,2624.326753
1260.129678,1,2632.938743
1189.208404,1,2646.165868
1187.874133,1,2660.170553
40000,1,2681.586219
2999.935835,1,2712.239617
1343.66548,1,2720.074661
40000,1,2736.096398
40000,1,2755.606397
40000,1,2764.852149
1407.589915,1,2789.167411
2975.450669,1,2809.175004
1310.136514,1,2815.964732
2773.188228,1,2847.205159
40000,1,2853.0292
40000,1,2860.071699
2966.094131,1,2883.139652
1195.201906,1,2891.716816
1590.033137,1,2914.710448
40000,1,2924.756846
40000,1,2946.903923
40000,1,2967.258255
40000,1,2983.838739
2966.711939,1,3020.967533
2817.928614,1,3035.22896
40000,1,3041.163458
40000,1,3065.012975
40000,1,3083.159749
40000,1,3092.876646
2985.433997,1,3122.467593
40000,1,3136.1868
40000,1,3147.255916
2964.70195,1,3182.735225
40000,1,3189.545399
1217.615192,1,3203.204404
2978.960832,1,3237.993252
40000,1,3245.72258
40000,1,3254.579329
2972.948357,1,3292.778964
40000,1,3308.607269
2983.623576,1,3329.330909
40000,1,3336.386011
1951.661506,1,3358.370571
40000,1,3370.960002
40000,1,3380.00498
1216.401093,1,3386.747216
40000,1,3402.237907
40000,1,3424.771507
40000,1,3437.335843
2974.084663,1,3469.783511
1836.297767,1,3483.87244
2981.111358,1,3513.078137
2964.926191,1,3532.096559
40000,1,3540.634825
2989.951704,1,3576.594532
1249.625443,1,3585.031626
40000,1,3606.499715
40000,1,3628.148834
40000,1,3639.110652
3023.248667,1,3661.546457
3001.574362,1,3682.875936
40000,1,3691.740282
2969.521218,1,3721.204043
40000,1,3728.793186
40000,1,3738.655924
40000,1,3757.562492
40000,1,3773.343482
40000,1,3796.900922
2927.709757,1,3821.702568
40000,1,3830.029637
2975.363081,1,3864.344094
40000,1,3870.693841
40000,1,3888.520941
40000,1,3899.371046
40000,1,3922.78687
40000,1,3938.644651
40000,1,3964.162336
1299.273675,1,3976.263133
40000,1,3996.652718
40000,1,4017.276193
1204.577829,1,4032.262017
40000,1,4056.084237
40000,1,4068.543767
40000,1,4075.438308
1833.469844,1,4106.085385
2928.005351,1,4137.503959
2981.985312,1,4160.078511
40000,1,4167.305875
40000,1,4184.677501
2981.88385,1,4205.19695
40000,1,4212.035924
40000,1,4241.677446
40000,1,4258.438131
40000,1,4278.130605
40000,1,4293.957048
40000,1,4314.78262
2966.723079,1,4335.196078
40000,1,4341.248393
40000,1,4359.227694
40000,1,4367.563148
40000,1,4388.172935
40000,1,4412.698225
40000,1,4425.515134
40000,1,4440.713989
40000,1,4465.325279
40000,1,4495.136364
40000,1,4501.656008
40000,1,4520.820998
1217.682611,1,4529.188772
40000,1,4548.32233
40000,1,4572.870376
