#{"t_start": 1678173247.2898462, "env_id": null}
r,l,t
3026.761407,1,17.06486
40000,1,23.962458
2962.236181,1,52.252855
40000,1,62.786439
40000,1,85.138981
1562.408658,1,105.548333
40000,1,125.003241
1202.572461,1,136.409626
2973.223198,1,169.488903
1212.204936,1,174.223955
40000,1,201.031231
40000,1,217.431436
1168.260765,1,233.309567
40000,1,247.495899
1581.630985,1,266.681154
40000,1,283.854992
1177.246228,1,302.269677
1214.400846,1,315.674399
1215.629288,1,339.567476
40000,1,355.678754
3015.191274,1,377.609312
40000,1,384.907361
1224.50227,1,404.90415
40000,1,430.984122
1183.970625,1,436.58189
40000,1,457.550525
1363.851657,1,474.22623
1192.497192,1,486.084363
1202.257745,1,509.297822
1171.754376,1,523.433219
40000,1,545.140578
40000,1,553.943218
1497.919858,1,568.977016
1237.71508,1,578.856582
40000,1,599.082897
40000,1,621.099957
40000,1,644.616494
40000,1,665.437083
2963.463068,1,690.734164
40000,1,698.440981
2981.52126,1,728.465069
40000,1,735.66587
2973.404159,1,762.542686
40000,1,769.014936
1188.057936,1,790.944607
1233.619509,1,808.789317
40000,1,825.703175
40000,1,842.781641
40000,1,850.25488
40000,1,857.946229
40000,1,882.276228
40000,1,897.699232
40000,1,918.944888
40000,1,927.982596
40000,1,954.380056
2930.163755,1,981.030831
40000,1,987.522573
40000,1,1016.435225
2954.474196,1,1039.205109
40000,1,1048.139998
1200.353162,1,1055.209243
40000,1,1074.095603
40000,1,1090.536613
40000,1,1109.268253
40000,1,1126.102209
40000,1,1140.528795
40000,1,1157.969621
1448.982422,1,1176.290579
40000,1,1200.509272
40000,1,1214.161441
40000,1,1233.609039
40000,1,1245.144726
40000,1,1259.500106
1235.805167,1,1281.783287
1354.680841,1,1303.723799
2175.379934,1,1327.042668
1179.657727,1,1334.133842
1387.393127,1,1347.288207
1275.596944,1,1361.676179
1191.863837,1,1375.286679
40000,1,1389.297748
40000,1,1407.455322
40000,1,1426.777733
1186.588206,1,1434.349247
