Max Reward,[15213.235304799999, 19346.350657299998, 21170.1216216, 24639.8542317, 24856.55002105, 26784.211418, 26787.5064718, 28457.537421099998, 28563.715091650003, 30339.7206714, 36125.0408515, 36297.50926915, 38148.38072015, 38149.094741149995, 38149.84656765, 40000.0]
Episode,[20, 40, 60, 80, 120, 200, 380, 480, 1100, 1280, 1960, 2540, 2780, 2980, 3640, 5840]
