Max Reward,[1280.7990352099996, 1297.9963155799999, 1304.63087374, 1342.25380778, 1501.5139990000005, 2203.34073817, 2222.8271498400004, 2395.06690468, 2686.88371322, 2780.13766912, 2851.18166413, 2893.4392562499993, 4037.22600677, 7015.00124925, 9977.81378718, 17394.636759369998, 17401.338839160002, 21480.55029363, 24076.751311750002, 27779.48957239, 29631.866012550003, 32227.315002979998, 34817.70987323001, 35557.07485454, 36667.53938195, 37778.265621520004, 39259.38611591]
Episode,[200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5400, 6200, 8000]
