Max Reward,[18145.41888303, 18483.9444567, 24289.107011350003, 27375.04987437, 30116.32521882, 34342.164952060004, 35862.34670851, 38470.17755734, 38494.40942879, 40000.0]
Episode,[200, 400, 600, 800, 1000, 1400, 1600, 1800, 2000, 2200]
