#{"t_start": 1677999784.4718666, "env_id": null}
r,l,t
2988.264118,1,20.503982
1223.262132,1,24.554753
1361.005349,1,32.29168
1514.476863,1,41.991398
135.767006,1,43.523537
40000,1,57.653833
2072.53708,1,73.458078
1320.707346,1,79.435675
40000,1,88.380497
40000,1,96.257592
1274.774529,1,100.005048
1157.053355,1,108.407131
137.216955,1,109.878118
1285.069649,1,117.831166
1395.54275,1,125.529528
1166.360178,1,128.713252
40000,1,142.162123
1228.184858,1,150.768643
1729.476259,1,166.215201
1359.723481,1,172.149111
141.827887,1,176.372468
40000,1,192.42384
1255.96841,1,198.858542
147.497996,1,210.491293
40000,1,229.133721
145.358962,1,235.154002
40000,1,243.791971
40000,1,258.573182
134.56445,1,263.991943
128.077753,1,269.979475
1246.631907,1,280.828609
134.270526,1,289.198802
1153.994537,1,297.1601
138.862619,1,305.300327
40000,1,315.941108
1167.900146,1,324.47813
1443.692957,1,341.205469
1387.88923,1,353.741751
1668.914311,1,366.788706
135.838407,1,367.723548
1817.590336,1,386.322274
40000,1,394.310716
40000,1,406.376688
1161.473141,1,414.504168
1172.868893,1,425.684884
1212.294123,1,438.938201
40000,1,452.14304
1176.491015,1,457.026824
1226.300688,1,466.438153
1290.085973,1,475.22987
40000,1,490.415387
40000,1,497.441767
1199.972304,1,501.107321
138.541457,1,504.619391
1440.605724,1,517.32415
40000,1,521.262695
40000,1,536.210377
136.15841,1,543.401904
142.735158,1,554.514433
138.225422,1,560.2676
1230.702011,1,575.562954
1165.117109,1,593.737014
1386.273017,1,609.420576
137.56117,1,610.417631
1192.370088,1,619.693907
40000,1,627.397588
1192.046979,1,630.539261
1445.532243,1,638.69342
40000,1,649.049841
40000,1,662.263281
1228.006051,1,667.873136
1243.178904,1,674.190959
1159.298618,1,681.254094
1195.640662,1,693.442186
40000,1,710.598766
1307.606359,1,722.176213
137.874969,1,734.044379
40000,1,748.207972
40000,1,756.766796
1180.803496,1,763.755537
40000,1,782.382574
1137.833535,1,786.196094
1180.804919,1,797.243996
1622.398016,1,816.084101
1194.177406,1,825.124285
1154.025868,1,837.701745
141.905354,1,843.21236
2998.548643,1,869.939923
1393.225767,1,880.565903
40000,1,890.494503
1335.636295,1,898.127234
134.171004,1,902.549577
1174.136855,1,914.663736
1168.62846,1,925.717924
142.93842,1,931.162693
1362.524379,1,943.315204
1172.752196,1,950.276648
40000,1,957.540327
143.533661,1,960.13782
40000,1,973.983083
40000,1,986.627797
40000,1,998.111914
40000,1,1009.057979
1200.102383,1,1020.49911
1238.453956,1,1027.367949
1262.433825,1,1044.444699
1204.01532,1,1055.07817
40000,1,1065.263934
133.784927,1,1070.989851
128.468378,1,1081.561934
2984.050077,1,1097.555136
40000,1,1102.721025
40000,1,1112.863126
1327.940025,1,1119.892535
1170.833169,1,1126.772654
1551.367588,1,1133.159717
40000,1,1142.931517
131.221486,1,1146.429748
156.260647,1,1153.258008
130.292918,1,1165.872787
137.560614,1,1181.692047
40000,1,1201.259966
40000,1,1217.246675
1523.400063,1,1224.776489
40000,1,1239.314209
138.525931,1,1248.588409
1283.131388,1,1261.548615
2040.88487,1,1274.767044
1431.860009,1,1282.333761
1192.180506,1,1285.513424
1193.109632,1,1292.2229
40000,1,1303.685016
137.769902,1,1309.049783
132.15508,1,1321.300358
2963.730058,1,1346.842702
138.873036,1,1348.245422
2964.968753,1,1376.920221
1408.747074,1,1387.374758
40000,1,1401.741331
1202.704175,1,1420.140422
40000,1,1424.929454
1222.263952,1,1432.765891
138.203113,1,1435.656528
143.935663,1,1445.66461
40000,1,1458.69533
2957.725741,1,1474.064258
127.42686,1,1474.949642
40000,1,1490.334068
1255.057729,1,1501.883313
40000,1,1514.219071
3073.856748,1,1531.242516
1190.221764,1,1533.78478
1889.826078,1,1548.182399
1339.241401,1,1558.324615
1217.82455,1,1571.154964
40000,1,1593.907544
1223.754253,1,1600.040215
1226.351389,1,1611.498904
40000,1,1619.569925
1245.046662,1,1634.45108
40000,1,1643.336312
2967.882004,1,1663.509646
40000,1,1672.992563
1968.244623,1,1684.30947
2697.200145,1,1697.75579
141.234132,1,1698.722146
40000,1,1724.552675
144.259127,1,1735.360535
136.809712,1,1741.267667
40000,1,1752.83029
40000,1,1767.51837
142.17216,1,1770.225594
40000,1,1786.906136
1516.000933,1,1798.440252
3002.331177,1,1816.385915
136.296758,1,1817.46628
144.802735,1,1828.150679
2215.523097,1,1855.563531
3010.047638,1,1879.023124
1769.149463,1,1889.443756
2988.925103,1,1904.137211
40000,1,1912.76619
139.13666,1,1919.678825
40000,1,1935.339059
3030.662608,1,1950.234069
40000,1,1955.281867
40000,1,1964.166612
1216.216121,1,1973.357401
139.346152,1,1984.008787
