Max Reward,[9351.8168425, 16967.131574249997, 26555.601604100004, 28505.795616249998, 28545.41730355, 32456.664550150006, 34356.224777200005, 36213.10650335, 38148.35887135, 38148.41100545, 38148.49805835, 40000.0]
Episode,[20, 40, 480, 1000, 1140, 1160, 1320, 1340, 1700, 1920, 2020, 2160]
