Max Reward,[12627.50614848, 13755.71002227, 17715.50357809, 21913.129784219997, 27806.465816850003, 36192.2619023, 38148.78495813, 38889.37813756, 40000.0]
Episode,[200, 400, 600, 800, 1000, 1200, 2400, 4000, 5600]
