Max Reward,[1294.27498865, 1338.98332885, 1339.5915624000002, 1354.3592250499998, 1355.57829525, 1372.87485465, 1387.00555115, 1390.0119868000004, 1440.33250665, 1440.96222485, 1501.5770558, 1505.4252875999998, 1516.4864205500003, 1517.6278492, 1554.8921977999998, 1610.2440253, 1623.1264591500003, 1660.5525149, 1774.64928115, 1828.1702019, 1958.6100488000004, 1984.76760155, 2157.0983736499998, 2199.1048944500003, 2355.8708581, 2417.2820449999995, 2556.2639629499995, 2655.4978768499996, 2661.4031739, 2732.4035467, 2762.1668044499993, 2769.5483827, 2775.5604118, 2799.3980507, 2802.1345168, 2828.8336298, 2844.9601695499996, 2871.0964240999997, 2892.36831675, 4745.2559682500005, 6598.22516525, 6601.6945332000005, 8457.416010500001, 8478.7279741, 10312.5683712, 14024.9289627, 17759.2128743, 21464.2356211, 28886.001215950004, 32589.354931500002, 32599.348642150006, 36301.32980895, 36301.53676145001, 40000.0]
Episode,[20, 80, 840, 860, 920, 1080, 1120, 1140, 1220, 1280, 1320, 1340, 1360, 1380, 1400, 1440, 1460, 1480, 1560, 1580, 1640, 1820, 1880, 1980, 2020, 2180, 2200, 2400, 2420, 2480, 2560, 2580, 2620, 2640, 2680, 2700, 2720, 2800, 2820, 2880, 3080, 3120, 3180, 3280, 3300, 3360, 3500, 3640, 3660, 3940, 4440, 4680, 4740, 5020]
