Max Reward,[673.27016574, 1064.4654786100002, 1171.34670023, 1218.5854077800002, 4154.2758719700005, 4183.69962415, 7305.03702374, 14255.327084070002, 18097.29948515, 27704.00918871, 33468.07908084, 37309.85970658, 37309.89694704, 38462.34923374, 38462.88057045, 39231.5527355, 39615.661898269995]
Episode,[200, 400, 1200, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4200, 4600]
