#{"t_start": 1678033752.6365113, "env_id": null}
r,l,t
1492.872263,1,12.256348
1394.206127,1,23.711894
40000,1,39.042463
1170.567551,1,51.841902
40000,1,64.539625
1298.647743,1,75.228202
1204.357254,1,86.390695
1160.811228,1,97.025826
40000,1,113.691926
1406.681879,1,124.758933
1309.175324,1,133.416922
1161.058123,1,150.504714
1216.272706,1,157.246728
1306.929576,1,173.314231
1242.401389,1,182.623595
1323.668468,1,198.755047
40000,1,207.767659
40000,1,219.277473
1163.892803,1,224.307621
1221.773565,1,233.589582
1521.393382,1,243.412171
1195.369545,1,247.643213
1495.585069,1,263.665338
1195.007737,1,273.976793
1176.97327,1,279.559579
1250.879616,1,292.365534
1339.839704,1,300.820472
1166.231811,1,307.031066
1385.564089,1,318.74859
40000,1,329.409648
3025.279929,1,352.588522
1179.219088,1,357.244697
1208.85777,1,371.503252
1370.181836,1,388.696233
1422.922198,1,401.345392
1336.088667,1,412.48028
40000,1,424.195902
1229.993132,1,440.624041
1159.487414,1,452.198065
1310.548107,1,467.734148
1561.053074,1,487.113583
1670.650929,1,502.590703
1236.003949,1,515.686441
1301.459343,1,527.335945
1220.288159,1,541.280691
40000,1,552.959793
1158.396231,1,563.292442
1303.519219,1,580.401892
1186.50696,1,595.136809
1180.426049,1,598.957293
1178.643328,1,612.697742
40000,1,625.931278
40000,1,642.096247
40000,1,649.702634
2017.794174,1,664.793903
1627.845608,1,679.781796
1208.150403,1,693.097886
40000,1,695.727332
40000,1,715.068655
1352.372961,1,723.250716
40000,1,735.668105
40000,1,756.059875
40000,1,763.151884
40000,1,774.393663
1220.477514,1,784.657295
40000,1,796.859818
2975.694414,1,818.674119
1189.562993,1,821.507715
40000,1,840.891326
1301.737317,1,851.918365
1204.378357,1,862.382503
3001.945964,1,877.920089
40000,1,886.287113
1382.89579,1,892.387942
40000,1,906.805502
1294.638413,1,919.362565
40000,1,936.248604
1870.568675,1,953.520384
1340.816322,1,963.564936
1234.452459,1,972.27332
40000,1,983.512853
40000,1,990.565353
40000,1,1011.157384
40000,1,1020.597905
1239.158911,1,1029.722297
40000,1,1037.775998
40000,1,1048.796789
2976.745328,1,1067.613782
2968.30211,1,1081.952843
1549.356328,1,1089.950393
1317.797778,1,1107.371949
1376.579226,1,1118.447614
1337.848041,1,1127.185085
40000,1,1138.230889
40000,1,1155.508126
40000,1,1164.692112
1325.199142,1,1177.324785
40000,1,1187.342668
1173.947256,1,1196.865726
40000,1,1210.69825
1394.417084,1,1223.406942
40000,1,1242.172978
1547.621319,1,1258.510915
40000,1,1281.10691
2796.807613,1,1294.700998
40000,1,1304.505706
1244.752584,1,1311.610599
40000,1,1322.739026
1233.032122,1,1336.437063
40000,1,1353.816891
1193.080029,1,1365.738494
40000,1,1380.398636
40000,1,1390.28432
40000,1,1410.633019
40000,1,1424.554799
40000,1,1435.353327
2962.824965,1,1455.533149
40000,1,1467.064528
40000,1,1473.227472
1831.456516,1,1489.137275
1819.422605,1,1503.655253
2969.539628,1,1523.557847
40000,1,1533.63292
40000,1,1546.269058
2969.885856,1,1568.303112
40000,1,1575.459214
40000,1,1589.197909
40000,1,1605.102478
40000,1,1618.207888
2972.071617,1,1636.973125
40000,1,1645.650582
40000,1,1658.174145
40000,1,1670.303849
40000,1,1688.567447
40000,1,1698.778157
40000,1,1711.709209
40000,1,1729.747829
40000,1,1735.858896
2994.749912,1,1756.450418
1204.068936,1,1760.520006
2963.21261,1,1788.793905
1383.194306,1,1795.164859
40000,1,1807.622216
1172.134345,1,1820.763907
40000,1,1831.745961
40000,1,1845.641819
40000,1,1859.886011
40000,1,1878.841738
40000,1,1888.140224
40000,1,1897.276852
40000,1,1907.171561
1267.009218,1,1918.36113
40000,1,1928.716255
40000,1,1944.697783
40000,1,1962.719592
40000,1,1975.508003
2961.412229,1,2001.344573
40000,1,2009.480098
40000,1,2017.024692
40000,1,2029.715381
40000,1,2043.339091
40000,1,2053.564625
40000,1,2068.702619
40000,1,2090.391904
40000,1,2101.055568
40000,1,2122.414176
40000,1,2140.375834
40000,1,2147.618325
2967.177427,1,2167.124901
40000,1,2174.229403
40000,1,2181.158931
40000,1,2191.985182
40000,1,2205.009063
40000,1,2212.873171
2968.686986,1,2239.518209
40000,1,2248.030388
40000,1,2258.436942
40000,1,2275.074579
1432.958688,1,2288.383294
1233.847865,1,2293.291658
40000,1,2312.088191
40000,1,2326.094479
40000,1,2340.977816
40000,1,2353.834513
40000,1,2371.830595
40000,1,2389.143932
2996.033946,1,2407.503711
40000,1,2414.11817
40000,1,2425.190665
40000,1,2438.735879
40000,1,2454.128049
40000,1,2460.670098
40000,1,2476.31642
40000,1,2488.038678
40000,1,2500.024232
40000,1,2509.439724
40000,1,2527.106313
40000,1,2548.522795
40000,1,2562.124623
40000,1,2569.004669
40000,1,2585.774775
40000,1,2601.474779
40000,1,2611.760164
40000,1,2628.905135
40000,1,2635.470435
40000,1,2649.226346
40000,1,2666.92204
40000,1,2679.498882
40000,1,2689.05241
40000,1,2700.776868
40000,1,2707.380597
40000,1,2721.873257
2988.934456,1,2744.279434
40000,1,2751.132921
40000,1,2765.428026
40000,1,2773.328092
40000,1,2781.459934
40000,1,2794.196899
40000,1,2809.750423
40000,1,2824.727503
40000,1,2841.701949
40000,1,2848.134817
40000,1,2863.226182
40000,1,2872.314664
40000,1,2886.436455
40000,1,2902.344267
40000,1,2918.890276
2973.991802,1,2941.753615
40000,1,2949.934794
40000,1,2967.301015
40000,1,2974.0226
40000,1,2986.893403
40000,1,2999.6587
2992.125297,1,3020.488214
40000,1,3027.703528
2980.610844,1,3066.33125
40000,1,3075.193643
40000,1,3089.912039
40000,1,3102.953446
40000,1,3123.006636
40000,1,3128.996077
40000,1,3143.278514
40000,1,3157.677294
2981.003523,1,3174.690721
40000,1,3180.401121
40000,1,3197.86441
40000,1,3211.309817
40000,1,3220.914386
40000,1,3234.487239
40000,1,3243.246403
40000,1,3263.48477
40000,1,3269.052359
40000,1,3286.97299
2966.33295,1,3316.818064
40000,1,3323.794449
40000,1,3332.581289
40000,1,3344.811061
40000,1,3368.847523
40000,1,3380.478877
40000,1,3392.444331
40000,1,3412.828793
40000,1,3429.345636
40000,1,3442.651946
40000,1,3454.442434
40000,1,3470.712925
40000,1,3486.48979
40000,1,3499.403795
40000,1,3518.372832
40000,1,3530.159918
2977.013036,1,3556.11915
40000,1,3563.331461
40000,1,3577.480447
40000,1,3592.794472
40000,1,3609.451802
40000,1,3619.400368
40000,1,3625.822712
40000,1,3637.914282
40000,1,3654.991828
1252.353705,1,3664.656871
40000,1,3676.089882
40000,1,3691.105991
40000,1,3705.000669
40000,1,3722.903378
40000,1,3735.598323
40000,1,3749.29741
40000,1,3769.243969
40000,1,3785.266052
40000,1,3806.423384
40000,1,3827.572804
40000,1,3836.716542
40000,1,3849.365056
40000,1,3870.56341
40000,1,3879.401216
40000,1,3889.414711
2994.971747,1,3911.372206
40000,1,3917.167322
40000,1,3925.108792
40000,1,3947.364325
2980.914057,1,3966.048494
40000,1,3971.702922
40000,1,3987.030439
40000,1,3994.440557
40000,1,4012.815351
40000,1,4027.252505
40000,1,4041.307788
40000,1,4055.793997
40000,1,4071.109031
40000,1,4088.710999
40000,1,4101.365949
40000,1,4119.822414
40000,1,4128.802596
40000,1,4144.652321
40000,1,4156.754534
2987.211985,1,4179.246872
2979.294029,1,4192.041467
40000,1,4200.888535
40000,1,4210.26896
40000,1,4227.591677
40000,1,4249.190262
40000,1,4259.502026
40000,1,4273.861833
40000,1,4289.5405
40000,1,4303.30098
40000,1,4315.589221
40000,1,4327.946283
40000,1,4351.662347
40000,1,4358.878598
40000,1,4375.030407
40000,1,4386.332108
40000,1,4407.037151
40000,1,4415.663339
40000,1,4421.352075
40000,1,4432.928934
40000,1,4449.648086
40000,1,4465.442733
40000,1,4481.824465
40000,1,4492.207014
40000,1,4510.506456
40000,1,4519.878445
40000,1,4530.236108
40000,1,4539.594393
40000,1,4545.004322
40000,1,4566.472653
40000,1,4578.256447
40000,1,4598.572553
2962.980427,1,4625.088391
40000,1,4631.027466
40000,1,4647.229815
40000,1,4660.774471
40000,1,4677.306198
40000,1,4689.694573
40000,1,4708.527164
2975.112467,1,4729.474837
2982.597763,1,4743.764075
40000,1,4761.386669
40000,1,4772.758004
40000,1,4793.402307
40000,1,4807.202577
40000,1,4822.380886
2986.438238,1,4842.529358
40000,1,4852.315764
40000,1,4871.508508
40000,1,4884.932387
40000,1,4895.6316
40000,1,4908.858655
40000,1,4925.229499
40000,1,4937.770953
40000,1,4949.718475
40000,1,4960.916566
40000,1,4980.712828
40000,1,4988.585615
40000,1,5000.781459
2971.668378,1,5023.447095
40000,1,5029.214284
40000,1,5042.250437
40000,1,5057.810761
40000,1,5071.602282
40000,1,5086.990837
40000,1,5097.907793
40000,1,5111.476493
40000,1,5127.546868
40000,1,5141.419202
40000,1,5149.65811
40000,1,5167.938291
40000,1,5178.721117
2980.14343,1,5203.518151
2975.994811,1,5219.13803
40000,1,5225.650327
40000,1,5240.787352
40000,1,5251.2921
40000,1,5264.454662
40000,1,5284.159055
40000,1,5295.612398
40000,1,5305.114796
40000,1,5317.652496
40000,1,5332.173296
40000,1,5339.254885
40000,1,5356.851697
40000,1,5365.993862
40000,1,5374.800767
40000,1,5382.694135
40000,1,5396.657702
40000,1,5411.150593
40000,1,5428.034041
40000,1,5441.751304
40000,1,5449.810007
40000,1,5465.74521
40000,1,5472.1869
40000,1,5486.856355
40000,1,5494.226912
40000,1,5504.845274
40000,1,5517.126599
40000,1,5528.409411
40000,1,5538.630182
40000,1,5545.243637
40000,1,5560.947573
40000,1,5572.523112
40000,1,5580.26738
40000,1,5595.079138
40000,1,5604.690328
40000,1,5621.230043
40000,1,5636.030608
40000,1,5656.131191
2971.654102,1,5670.127432
40000,1,5676.995041
40000,1,5687.382791
40000,1,5707.017774
40000,1,5714.789803
40000,1,5726.529532
40000,1,5743.385789
40000,1,5750.099302
40000,1,5764.334027
40000,1,5773.45019
40000,1,5790.934671
40000,1,5807.317397
40000,1,5819.045589
40000,1,5830.041532
40000,1,5839.813435
40000,1,5853.390883
40000,1,5866.607079
40000,1,5885.630208
40000,1,5893.362712
40000,1,5904.69647
40000,1,5918.239547
40000,1,5936.76267
40000,1,5945.301378
40000,1,5964.674541
40000,1,5977.194454
40000,1,5998.755055
40000,1,6017.117317
40000,1,6025.210354
40000,1,6038.596864
40000,1,6054.239456
40000,1,6063.368657
40000,1,6083.273205
40000,1,6094.464686
40000,1,6106.663203
40000,1,6114.667666
40000,1,6128.02234
40000,1,6143.400141
