#{"t_start": 1678033752.8414443, "env_id": null}
r,l,t
1650.035603,1,11.000995
1194.90775,1,18.553017
40000,1,38.822524
40000,1,54.159347
1260.640265,1,62.233577
1499.032874,1,74.298481
1240.39744,1,85.733351
3030.240545,1,106.587267
1400.983872,1,113.799302
1196.987323,1,118.791215
2407.374935,1,139.139832
1302.175143,1,150.325234
1259.531114,1,157.512263
40000,1,174.454807
40000,1,186.102819
1283.177966,1,195.829578
1250.394588,1,204.497816
1215.548388,1,217.440038
1191.605549,1,224.566697
1166.843051,1,232.227376
1174.167205,1,239.840801
1209.238816,1,247.112813
40000,1,261.089794
40000,1,275.480275
1178.519483,1,279.784308
1209.320448,1,288.4695
1388.015371,1,302.660597
40000,1,310.729326
40000,1,314.63379
2043.011166,1,332.646167
1232.469422,1,340.826051
40000,1,359.456998
1265.159565,1,372.19221
40000,1,389.160605
40000,1,400.469993
1201.183696,1,408.107756
1185.063482,1,420.979005
1216.697827,1,439.796348
40000,1,456.96677
40000,1,470.720475
2988.235373,1,492.521199
1269.430804,1,497.763576
1392.961897,1,514.621577
1178.318012,1,526.41266
1405.185734,1,542.139606
1384.701076,1,552.281644
40000,1,569.576519
1645.57358,1,583.59555
40000,1,595.808077
1245.375884,1,599.72194
1259.762973,1,611.149405
1168.214994,1,628.882487
40000,1,643.977817
1307.503901,1,651.391769
40000,1,661.198417
1351.784483,1,678.084565
40000,1,692.579726
2996.266989,1,708.548308
1215.835256,1,712.286088
40000,1,723.959186
40000,1,736.203429
40000,1,752.348472
40000,1,760.79584
1237.83668,1,770.470514
40000,1,788.791646
1234.278629,1,795.36613
40000,1,807.116355
40000,1,825.278159
2184.91353,1,842.561953
40000,1,855.009637
40000,1,861.099025
40000,1,873.743741
40000,1,883.949687
1552.273402,1,895.897558
1324.190475,1,906.931373
1197.736497,1,916.57143
1207.637671,1,934.14144
1302.563181,1,947.863639
1172.753957,1,959.629576
1161.349354,1,969.896743
40000,1,983.035229
40000,1,990.078346
40000,1,1005.627744
40000,1,1021.446187
1712.270922,1,1031.230559
40000,1,1040.044188
40000,1,1045.779567
1502.110129,1,1061.82439
40000,1,1075.073513
1171.346355,1,1085.045526
1202.809396,1,1101.882879
40000,1,1118.123207
1268.472267,1,1126.933247
2961.450581,1,1144.229993
1859.001078,1,1155.57033
40000,1,1164.384233
40000,1,1178.212232
40000,1,1187.021989
40000,1,1200.011717
40000,1,1210.74562
3026.684443,1,1231.71944
40000,1,1239.403849
1354.97947,1,1258.443245
40000,1,1270.796402
40000,1,1289.593524
40000,1,1304.039154
1329.481543,1,1314.467244
2972.409947,1,1331.873141
2962.706156,1,1345.353274
2966.034678,1,1359.755766
1198.884176,1,1363.199431
1727.075491,1,1384.630911
1254.633921,1,1394.547904
40000,1,1410.597955
40000,1,1420.03352
40000,1,1435.85625
40000,1,1448.16055
40000,1,1460.750895
40000,1,1475.26567
1202.781722,1,1480.597259
1231.926787,1,1496.868979
40000,1,1517.573757
40000,1,1532.151912
40000,1,1543.477372
40000,1,1559.421488
1248.690167,1,1571.971962
40000,1,1592.6202
40000,1,1603.138347
40000,1,1618.985242
40000,1,1627.915594
40000,1,1643.573534
40000,1,1654.038338
40000,1,1670.558128
40000,1,1688.405627
2973.904488,1,1703.221177
40000,1,1710.561299
40000,1,1728.379516
1230.482317,1,1733.558205
40000,1,1750.000606
40000,1,1763.712198
2969.028358,1,1788.119716
40000,1,1795.521613
40000,1,1803.966232
40000,1,1822.131339
2982.551552,1,1839.050861
40000,1,1848.437701
2965.316108,1,1870.203917
40000,1,1879.069448
40000,1,1884.270247
40000,1,1897.689168
40000,1,1905.652128
40000,1,1922.310192
40000,1,1928.581826
40000,1,1945.873749
40000,1,1961.351002
40000,1,1976.144768
40000,1,1992.629286
40000,1,2008.784677
3019.242213,1,2023.814275
40000,1,2030.154056
40000,1,2044.496193
40000,1,2053.039053
40000,1,2066.847476
40000,1,2084.54089
40000,1,2100.968844
2964.06502,1,2131.649817
40000,1,2138.434982
40000,1,2146.723717
40000,1,2162.48519
40000,1,2172.330743
40000,1,2182.097767
40000,1,2194.191153
40000,1,2206.356824
40000,1,2213.436153
40000,1,2229.198472
40000,1,2245.48208
40000,1,2259.555753
40000,1,2271.701879
40000,1,2288.833476
40000,1,2295.302092
40000,1,2310.095327
1302.029124,1,2325.648774
2970.258293,1,2347.930582
2986.755956,1,2365.350633
40000,1,2371.437322
40000,1,2389.861448
40000,1,2396.311167
40000,1,2415.933681
40000,1,2423.023986
2964.721091,1,2445.318036
40000,1,2451.643036
40000,1,2461.057799
40000,1,2473.086007
40000,1,2486.02602
40000,1,2500.159429
40000,1,2510.578325
40000,1,2524.886882
40000,1,2546.321573
40000,1,2561.226945
2959.776558,1,2578.263637
40000,1,2586.621812
40000,1,2600.873196
40000,1,2611.063112
40000,1,2618.603578
40000,1,2634.765638
2974.886949,1,2660.141285
40000,1,2672.681042
40000,1,2679.215783
40000,1,2692.273742
40000,1,2698.461201
40000,1,2708.177246
40000,1,2718.479153
40000,1,2730.75505
40000,1,2756.429626
40000,1,2763.356213
40000,1,2770.688518
40000,1,2780.824552
40000,1,2795.060183
40000,1,2808.74951
2973.847687,1,2832.317686
40000,1,2837.785621
40000,1,2849.86122
40000,1,2860.14932
40000,1,2874.872159
2964.218661,1,2895.935768
40000,1,2905.405588
