Max Reward,[1217.4167154, 1219.3479282499998, 1243.21338315, 1272.4376913500003, 1317.79102945, 3139.5022495999997, 3153.7626170500002, 3182.6772462999998, 3237.44270125, 3294.0370144999993]
Episode,[20, 60, 80, 280, 880, 1260, 2920, 9460, 13960, 17000]
