Max Reward,[32596.4764709, 34445.693877649996, 36297.06170965, 36297.254608999996, 38148.64522, 38148.74956325, 38149.63340885, 38151.2897311, 40000.0]
Episode,[20, 60, 80, 120, 140, 640, 700, 740, 1240]
