Max Reward,[1237.28391053, 1241.87726888, 1306.8274749500001, 1423.6861883600002, 1662.5868017999999, 2232.5125695999996, 2483.2924239900003, 2556.37210282, 2709.0854168599994, 3119.95729732, 3193.41764303, 4727.66146951, 5857.666669929999, 6278.93503334, 7377.68022776, 11487.802168290005, 14068.114505290001, 14832.462590379999, 16693.74465133, 23351.3435322, 25208.63213791, 28537.986725889998, 30757.22068435, 31124.50063749, 31494.132873380004, 31496.211272300003, 33342.59895257, 34083.04098467, 34452.346746920004, 36301.516913210005, 36670.89084954, 38149.90367532, 38519.3316663, 38889.7819307]
Episode,[200, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 6000, 6200, 6400, 6600, 7000, 7200, 7400, 7600, 8600]
