Max Reward,[668.78860755, 672.2303178799999, 687.3013043400001, 713.33000848, 746.496069, 812.4659705500002, 1120.4948568199998, 1261.94876445, 1352.4449484699999, 2550.60970169, 2647.42892383, 2685.6185283099994, 12699.938945889999, 17317.85913606, 25006.385604400002, 28084.506943449996, 30001.167516989997, 31931.580313330003, 32313.50966541, 32314.74191545, 32315.162185449997]
Episode,[200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3600, 4000, 4200, 4800, 5000]
