#{"t_start": 1661448816.5565853, "env_id": null}
r,l,t
2766.74995,1,46.856562
1735.041665,1,75.501615
2699.288743,1,136.070722
1992.298969,1,180.026742
2447.152066,1,229.37067
1489.62658,1,261.186788
1501.348539,1,306.143265
1324.316713,1,343.776355
1329.714858,1,387.65435
2537.275787,1,461.810228
1550.583319,1,489.132879
1798.039657,1,553.309628
2092.176623,1,596.967378
1370.29965,1,617.502703
1621.711214,1,679.066912
1621.49175,1,730.586401
2954.385356,1,786.512407
2441.314632,1,835.839794
2867.940523,1,883.653514
1616.891114,1,910.609488
2533.927759,1,969.056038
1643.034807,1,991.710177
1258.380201,1,1021.95055
1558.346993,1,1070.212357
2602.419344,1,1148.437788
1367.416938,1,1171.803601
2110.535843,1,1235.273742
1246.432376,1,1257.681892
1441.402983,1,1303.380978
2993.577273,1,1382.927958
1347.214945,1,1398.302213
2305.067541,1,1472.510052
1505.762086,1,1505.277001
3005.189282,1,1562.386207
2982.113409,1,1615.963053
1702.435703,1,1651.896117
1891.529349,1,1718.224518
1996.247414,1,1771.145569
2587.564202,1,1831.603277
2996.138267,1,1879.642206
1946.161866,1,1928.722117
1589.373661,1,1952.246999
2996.028797,1,2040.865314
2837.733045,1,2093.019047
1671.812194,1,2121.195018
2137.823621,1,2208.732468
1292.433206,1,2231.136632
1781.926682,1,2302.625494
1803.589191,1,2357.911644
2997.807389,1,2414.157853
1351.99597,1,2431.861882
2117.244141,1,2498.49866
2987.018279,1,2552.759997
1764.467991,1,2583.818925
2993.505969,1,2659.676556
2150.078281,1,2702.526457
2256.983766,1,2758.760271
1908.61199,1,2802.108083
1426.616662,1,2827.03487
1900.827339,1,2897.245418
1380.369304,1,2939.576845
2760.503861,1,3024.162598
1349.070704,1,3036.503949
1556.924988,1,3118.69578
1251.650085,1,3154.824773
2999.168178,1,3237.857551
1462.015602,1,3261.407228
2408.608761,1,3349.19457
2851.386778,1,3405.744395
2395.356603,1,3452.52751
2980.323366,1,3521.118977
2999.080245,1,3575.97138
3057.415382,1,3639.17599
2947.551934,1,3704.77668
1840.049234,1,3741.181806
1398.909976,1,3788.466335
2848.329379,1,3876.291027
2918.126718,1,3937.954853
3009.214429,1,3989.337497
1521.316998,1,4016.326924
1517.540257,1,4071.538764
1361.928729,1,4139.240492
2964.928676,1,4225.481588
1564.513833,1,4250.57137
2979.133941,1,4349.753762
1589.564958,1,4379.578128
2626.061321,1,4494.536465
3010.894579,1,4574.325445
3052.595891,1,4653.00241
3007.071198,1,4716.496846
2902.673036,1,4797.902385
2869.869914,1,4869.31646
2638.13198,1,4937.717243
2838.149146,1,5015.659989
1947.489071,1,5055.04935
1697.346203,1,5128.46077
2982.370858,1,5236.365569
2818.990166,1,5308.557455
2826.583555,1,5391.370177
2747.712806,1,5458.172843
3067.280354,1,5528.655091
1948.417661,1,5595.421491
3038.771372,1,5691.979097
3016.456929,1,5782.277474
2982.443307,1,5886.83173
2923.214215,1,5977.97191
2887.02055,1,6053.91358
2826.091121,1,6143.61536
2854.22903,1,6235.039968
3002.754091,1,6323.930561
2210.553609,1,6396.802733
2968.149396,1,6505.156175
3000.473993,1,6590.373979
2985.642684,1,6668.894974
3022.959826,1,6754.022335
3000.378442,1,6858.297149
2983.646905,1,6953.943825
2973.923143,1,7039.786337
2772.504998,1,7144.492835
2829.370042,1,7221.801484
3103.204706,1,7320.893829
2980.588857,1,7422.246827
3006.213814,1,7515.20003
2986.95315,1,7597.303968
2809.884607,1,7685.721095
2971.039928,1,7791.073689
3006.553325,1,7888.329687
2893.743412,1,7982.002309
2980.625987,1,8066.453981
2981.779021,1,8172.937771
3051.980514,1,8260.916653
2990.585377,1,8360.080597
2963.073497,1,8442.861075
2317.299354,1,8548.545624
3031.713259,1,8644.94684
3023.651025,1,8731.349309
2983.890103,1,8833.583242
2984.139089,1,8922.243032
2936.25745,1,9017.230537
2982.654834,1,9118.075336
3002.32465,1,9209.130616
2992.38314,1,9309.892944
3023.957095,1,9421.326631
3008.55905,1,9521.294166
3050.308627,1,9604.780618
2978.707249,1,9706.404508
2972.115166,1,9805.015745
3040.053363,1,9898.690626
2964.670729,1,9990.209927
2905.64445,1,10085.129976
2966.594944,1,10189.730732
2956.33748,1,10272.643179
2995.161335,1,10373.49861
2539.624632,1,10464.586946
2976.449729,1,10567.318972
2999.071496,1,10667.88923
3001.950802,1,10753.344475
2994.679208,1,10858.276275
2974.825363,1,10945.152744
3003.557259,1,11030.524024
2994.166733,1,11137.439881
2970.585578,1,11230.46741
3005.067801,1,11337.436222
2966.185426,1,11428.009197
2971.713765,1,11515.806836
2980.044746,1,11619.071084
2916.480059,1,11720.851162
2968.98096,1,11809.292928
2967.425959,1,11898.607982
3075.213091,1,11996.264037
3002.496225,1,12096.905412
3013.048243,1,12186.698943
2975.383493,1,12285.744092
3036.126412,1,12386.005135
3077.772183,1,12472.476984
2986.491662,1,12567.417863
2972.010438,1,12649.842181
2941.934768,1,12715.255927
2987.526917,1,12835.067145
3045.594906,1,12925.414102
2973.920993,1,13011.650616
3010.087227,1,13116.92569
3046.51968,1,13206.61532
3011.084467,1,13299.366508
2992.983851,1,13385.813743
3035.140956,1,13482.505364
2963.991754,1,13578.300484
3003.218177,1,13678.977087
2992.79226,1,13775.421224
2976.407289,1,13872.978064
3024.668541,1,13969.643986
2997.823138,1,14071.945545
3000.125219,1,14171.4567
2917.960912,1,14248.110764
3000.759187,1,14349.85217
3027.433448,1,14455.879164
2889.10747,1,14549.29377
3048.934438,1,14650.496414
2952.458066,1,14748.459955
2693.701035,1,14834.145899
2920.179459,1,14942.034767
2974.934291,1,15034.170766
2980.356761,1,15137.576535
2998.431572,1,15224.730572
2986.586785,1,15318.80874
2980.648839,1,15416.680619
2990.920357,1,15510.639215
2997.961256,1,15611.077889
2954.054295,1,15702.621392
3079.982557,1,15796.184477
2992.489285,1,15893.117756
