#{"t_start": 1678104801.3363621, "env_id": null}
r,l,t
40000,1,7.214252
1156.442978,1,9.830267
1169.874888,1,20.723488
2985.218872,1,42.51752
1169.154913,1,45.150553
40000,1,55.997699
1181.834133,1,70.101169
40000,1,81.26035
1240.472526,1,84.803051
40000,1,95.195175
40000,1,101.67222
1363.061434,1,113.6178
40000,1,129.234947
1185.978885,1,135.653834
40000,1,143.770319
40000,1,152.870536
40000,1,169.475773
1287.336285,1,176.221966
1258.309434,1,189.738631
1221.54386,1,195.83407
1168.104609,1,215.132158
1187.161063,1,222.273356
1182.267051,1,226.3115
40000,1,243.018563
1227.135022,1,247.746713
2984.134752,1,273.197854
40000,1,279.014714
2991.44427,1,294.441408
40000,1,299.010426
40000,1,312.554672
40000,1,327.989277
1367.794632,1,335.034978
1243.584791,1,353.517502
1214.987706,1,363.171895
40000,1,372.405033
1170.784583,1,382.235006
1195.749244,1,393.882846
1241.43544,1,398.823952
1180.419491,1,412.970565
1638.391325,1,426.803737
40000,1,434.986053
1158.825263,1,445.512367
2280.691329,1,472.717229
1173.631041,1,475.783888
40000,1,489.100553
3038.827414,1,506.90594
1465.901943,1,514.137157
1163.273685,1,519.198066
40000,1,534.561472
1317.435249,1,541.475717
40000,1,550.95786
1215.381551,1,556.062355
40000,1,570.459937
40000,1,579.427803
1230.995968,1,589.159415
1422.38745,1,603.026864
1330.123247,1,611.624709
40000,1,623.518368
1614.674151,1,636.476738
1191.124947,1,639.827079
1378.504278,1,651.566634
1226.365459,1,665.494676
40000,1,678.070553
40000,1,690.39825
1951.869084,1,711.660279
1757.299351,1,723.646419
40000,1,731.909528
40000,1,744.041755
1160.906787,1,760.884767
40000,1,771.221821
40000,1,796.662454
2097.915679,1,809.9576
40000,1,824.713494
1327.785867,1,833.49525
40000,1,841.944438
1209.770729,1,852.203035
1441.087997,1,868.315766
40000,1,880.304087
40000,1,897.1942
40000,1,910.979432
1339.287443,1,927.675438
40000,1,940.846818
1251.423804,1,947.548576
1267.593058,1,960.24713
1204.016233,1,966.421696
1178.418859,1,979.651727
40000,1,996.921267
1277.693406,1,1017.057373
40000,1,1027.781753
1189.24527,1,1042.547812
40000,1,1054.983075
40000,1,1067.300991
40000,1,1080.089427
1528.077424,1,1095.205678
40000,1,1115.784808
1155.211008,1,1124.255785
40000,1,1145.72268
1207.99906,1,1149.49118
1471.639327,1,1165.263185
40000,1,1176.369343
40000,1,1194.400854
40000,1,1212.060548
40000,1,1218.277466
1336.929687,1,1233.992503
40000,1,1243.423031
40000,1,1260.517028
1999.846666,1,1277.870395
1830.816358,1,1289.07111
1214.628602,1,1297.688474
40000,1,1315.827311
1277.360679,1,1331.25052
40000,1,1348.093321
1184.674578,1,1358.453684
40000,1,1376.473668
40000,1,1381.990544
40000,1,1403.123947
40000,1,1415.304222
40000,1,1425.06619
40000,1,1440.586536
1163.843491,1,1445.979144
40000,1,1458.559186
1585.894132,1,1473.132582
40000,1,1482.72256
40000,1,1493.990585
2328.032569,1,1514.958092
40000,1,1520.81346
40000,1,1535.392987
40000,1,1546.429315
40000,1,1566.630079
40000,1,1576.751079
40000,1,1590.370479
1168.957715,1,1593.290974
40000,1,1608.072618
2967.087379,1,1633.250548
40000,1,1642.923508
40000,1,1657.138757
40000,1,1680.413755
40000,1,1689.355895
40000,1,1698.740484
2966.21906,1,1726.220208
40000,1,1735.629786
1220.605025,1,1751.720168
40000,1,1765.486067
40000,1,1780.989983
