#{"t_start": 1678104800.1950715, "env_id": null}
r,l,t
1181.786265,1,7.915422
1344.201525,1,16.162899
40000,1,25.153182
1275.83309,1,35.290241
1162.109757,1,47.577396
1188.737992,1,54.733382
1191.492516,1,70.827852
1182.586344,1,78.944118
1211.782921,1,85.267227
1165.026479,1,93.425575
40000,1,101.614909
40000,1,114.845223
1583.92441,1,131.408025
1234.274769,1,135.500077
1183.848685,1,142.030469
1193.242335,1,150.570381
2078.151181,1,172.004227
1918.774205,1,182.06193
1335.322894,1,190.102416
40000,1,199.277173
40000,1,214.935753
40000,1,224.652072
1198.795985,1,228.911966
40000,1,243.437182
1269.073838,1,253.344078
1295.811645,1,267.830756
1245.99802,1,278.581328
1185.870659,1,288.965598
1325.016872,1,300.0256
40000,1,315.598327
40000,1,328.962394
2939.212188,1,347.844323
1715.32459,1,357.096124
1274.860751,1,365.340185
2971.345431,1,380.532763
1225.450363,1,384.811965
1221.341,1,391.521015
1202.718604,1,398.58624
1228.811456,1,414.497623
1551.189315,1,427.839368
1201.905572,1,435.979269
1243.221369,1,447.325739
40000,1,466.662981
40000,1,479.46784
1249.659755,1,488.221858
1267.198104,1,502.663182
1153.601653,1,515.733487
40000,1,527.004088
1379.237496,1,534.275846
40000,1,543.423713
40000,1,550.802591
1194.100348,1,556.976742
1165.318299,1,568.493885
40000,1,579.169899
40000,1,589.501639
40000,1,601.335206
1217.838329,1,609.906089
1393.714204,1,624.287408
40000,1,637.275076
1937.401271,1,646.481173
3015.076446,1,662.677176
40000,1,675.921159
1244.481952,1,680.382626
1269.137493,1,689.769971
1173.531423,1,705.039512
1231.773092,1,722.168538
40000,1,734.163269
1216.592011,1,743.026259
40000,1,765.046506
3018.17436,1,790.13604
1291.073113,1,796.056361
1197.174211,1,800.658358
1221.678303,1,821.595093
40000,1,836.11913
40000,1,843.099555
1319.143657,1,852.176164
1229.738647,1,863.680378
3011.930949,1,892.961618
40000,1,901.800302
40000,1,912.237445
1244.566949,1,926.748411
40000,1,940.893718
1169.639787,1,946.860955
1237.053476,1,960.106107
1197.796285,1,968.040351
1287.920887,1,982.646433
1173.215408,1,988.501454
40000,1,1017.881156
40000,1,1039.902012
1363.248015,1,1047.424932
1182.439589,1,1051.611381
1333.595626,1,1066.607209
40000,1,1081.81219
2022.756346,1,1101.957295
1166.888586,1,1110.209142
40000,1,1126.408698
1269.781108,1,1143.316417
40000,1,1156.952939
40000,1,1163.275559
1191.288303,1,1173.804341
40000,1,1195.824332
1213.603368,1,1210.278939
40000,1,1221.214198
40000,1,1236.134517
2188.93471,1,1253.740371
40000,1,1263.47435
40000,1,1275.318522
40000,1,1287.734036
3069.630452,1,1310.751417
1311.646645,1,1315.148059
2964.260329,1,1341.652485
40000,1,1349.734946
1200.414107,1,1359.346417
1492.249126,1,1376.449213
2972.090703,1,1390.288706
2972.497884,1,1410.030535
1191.775223,1,1413.704026
40000,1,1425.189149
40000,1,1444.092358
40000,1,1448.251307
40000,1,1460.26573
3011.830966,1,1480.091573
40000,1,1487.326835
1275.754004,1,1494.144535
1409.324985,1,1511.463413
40000,1,1525.319264
1201.956121,1,1532.525035
40000,1,1548.246609
3033.870864,1,1571.600842
40000,1,1578.255827
40000,1,1590.316181
