Max Reward,[5216.9628267, 14965.2556595, 16826.85124735, 18687.092881, 18834.18648445, 18955.971122149997, 24598.935436499996, 24698.783073699997, 24729.5362566, 26647.78979725, 30653.135436749995, 32333.469982100003, 32600.108994850005, 34414.80790735, 36299.95409255, 40000.0]
Episode,[20, 40, 160, 220, 280, 320, 520, 800, 1020, 1060, 1160, 1240, 1340, 1440, 1500, 1620]
