Max Reward,[1229.08177118, 1242.2730760799998, 1292.71613212, 1381.1453676500003, 1445.9410965400002, 2079.2196461800004, 2168.7514253900003, 2730.2764746000003, 3629.5935812100006, 3954.81556969, 4313.3698092800005, 4723.71698884, 6657.858260790002, 7044.49117555, 10020.15209348, 14818.736862000002, 17426.83806277, 20391.549972110002, 25572.82972194, 26310.18924236, 28883.79066683, 28902.93956877, 29640.180720599998, 30018.987808970003, 32232.98263285, 32235.697080850005, 32973.532129659994, 33714.80330743, 36302.51949107]
Episode,[200, 1000, 1400, 1600, 1800, 2000, 2400, 2600, 2800, 3600, 3800, 4200, 4600, 4800, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7200, 7400, 8200, 8800, 9400, 10000]
