Max Reward,[1275.2090296500003, 1296.4836615, 1307.307253, 1323.9836527799998, 1443.9571312, 1691.5139354599999, 2397.42554594, 2681.1350869899993, 2869.8361506000006, 2901.8199844399996, 5543.54251157, 7404.91795053, 10735.323028949999, 13689.10967557, 18166.178271650002, 19658.261846150002, 24468.40196836, 25208.294603090002, 28165.47305506, 33712.778088930005, 36302.44295466, 37040.88062812, 37409.13874127, 38889.65973729, 39259.716350250004, 39259.845735769995]
Episode,[200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3200, 3600, 3800, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 15200, 15600]
