Max Reward,[1902.2523376000001, 1999.1371459499999, 2022.3298420000003, 2090.6210161, 2302.64774845, 2314.34313785, 2315.6154954500003, 2486.0763568, 2537.8820163499995, 2556.76686335, 2562.4999674, 2702.4405229999998, 2779.9650126, 2854.82048735, 2881.74021885, 2887.9422592, 2921.1616098500003, 2930.9603427499997, 2952.1255666, 2962.2644417, 2976.11689655, 2982.9865151500007, 2989.0510364499996, 3001.83960485, 3002.9785817500006, 3006.57931135, 4831.60000045, 4844.51681695, 4854.05229495, 6705.347208599999, 8553.222191750001, 8555.01413385, 10406.78960475, 12258.782606199999, 19648.886497199997, 21500.764424699995, 21506.849755149997, 25204.7451046, 27048.585323599993, 27051.580492400004, 28898.156119749998, 28901.1521809, 32599.13088155, 36300.667545, 36303.950481500004, 38151.02936585, 38151.1958699, 38154.14325245, 40000.0]
Episode,[20, 60, 200, 360, 500, 920, 1420, 1540, 1720, 1900, 1960, 1980, 2060, 2080, 2100, 2240, 2340, 2420, 2440, 2600, 2660, 2700, 2800, 2940, 3220, 3680, 3880, 5500, 5600, 8720, 8740, 8780, 8900, 8920, 8960, 9100, 9180, 9200, 9280, 9440, 9520, 9720, 9740, 9760, 10240, 10840, 11800, 11960, 13300]
