#{"t_start": 1678018776.745825, "env_id": null}
r,l,t
1232.590837,1,4.549208
1331.810247,1,20.893871
40000,1,36.264228
1768.257562,1,48.316403
1158.066667,1,51.450944
1631.386936,1,66.253716
40000,1,74.621919
1285.84926,1,79.243134
1191.692476,1,92.289117
1343.259384,1,108.510352
1194.526197,1,115.352266
40000,1,130.62139
3018.623486,1,148.253957
1198.516489,1,152.063629
40000,1,164.067353
1229.040703,1,168.060555
1177.645832,1,176.179488
40000,1,188.901186
40000,1,195.974422
1174.799378,1,203.219341
1216.699159,1,210.714149
1322.485921,1,218.401383
40000,1,228.53777
1253.702597,1,235.992437
1238.985033,1,244.083821
40000,1,261.205701
1510.613398,1,272.947361
1156.622225,1,275.603837
1385.964495,1,285.459409
3019.541233,1,301.546803
1319.480338,1,307.402881
1207.138742,1,321.035438
40000,1,334.137403
1325.361405,1,340.328154
40000,1,357.767772
1450.193809,1,366.156881
40000,1,384.240785
1207.914298,1,393.090525
1215.636621,1,405.041896
1156.4581,1,419.254572
1211.957171,1,434.681198
1164.749038,1,443.197098
1160.943757,1,454.642517
1200.462593,1,469.378071
1448.783577,1,481.909245
40000,1,490.910114
40000,1,510.41677
40000,1,516.80827
40000,1,528.978357
1180.684036,1,536.11384
1223.016251,1,547.928703
1318.17778,1,558.073345
40000,1,568.871277
1206.063551,1,573.718932
1195.786675,1,584.002915
40000,1,605.386944
1213.429984,1,611.23104
1403.93081,1,622.344494
1240.324732,1,631.047462
1205.723409,1,643.566153
1416.150836,1,654.919562
1189.494408,1,665.511649
1362.486012,1,686.433237
1176.367883,1,695.405953
1588.058832,1,704.48833
40000,1,724.688829
2975.523559,1,740.657229
1576.214532,1,748.794274
40000,1,752.510324
1284.470782,1,766.002586
40000,1,774.18136
40000,1,786.685397
1202.539046,1,794.043948
1391.335178,1,808.933507
3013.80426,1,827.00525
1161.189728,1,830.776535
40000,1,839.980161
1222.231735,1,856.751648
40000,1,872.369046
40000,1,878.074065
1271.468188,1,891.30635
40000,1,898.463409
1503.768501,1,914.471112
40000,1,922.042587
1211.135827,1,925.928056
1239.370392,1,936.756445
40000,1,947.605786
1633.185153,1,963.898712
40000,1,976.643892
40000,1,983.806337
1314.392743,1,996.570214
40000,1,1011.989974
1244.261552,1,1019.10396
1559.141533,1,1032.209028
40000,1,1048.515023
40000,1,1070.734078
40000,1,1081.124249
40000,1,1089.62442
1291.213802,1,1100.712139
40000,1,1120.622975
2990.672804,1,1146.095212
40000,1,1152.355693
40000,1,1168.853169
1151.076471,1,1178.943625
40000,1,1196.001501
40000,1,1208.479009
1241.33179,1,1213.217988
1756.039348,1,1229.004573
1256.272839,1,1236.437144
1377.476944,1,1249.362205
40000,1,1262.6305
1307.131329,1,1269.922559
1243.485604,1,1287.135679
1649.969652,1,1302.244226
1820.28805,1,1317.432182
40000,1,1324.22804
40000,1,1340.369309
1223.248671,1,1347.753171
2969.665916,1,1367.330169
40000,1,1373.590928
40000,1,1381.59138
1466.968879,1,1397.528601
1426.888838,1,1406.397734
1194.05152,1,1419.485104
3002.837015,1,1437.821582
40000,1,1444.565574
40000,1,1461.829066
40000,1,1469.163597
40000,1,1478.468406
1346.011212,1,1486.82931
40000,1,1499.691134
3013.392113,1,1521.397051
40000,1,1530.942907
40000,1,1546.804756
40000,1,1568.490454
40000,1,1578.451858
1226.127236,1,1590.712712
1156.409932,1,1596.654438
40000,1,1614.930295
40000,1,1632.011726
40000,1,1640.229919
40000,1,1658.531753
40000,1,1671.863557
40000,1,1683.466604
2974.647544,1,1698.961858
40000,1,1707.717077
40000,1,1717.618934
40000,1,1723.801373
40000,1,1738.97976
40000,1,1746.822449
40000,1,1762.46777
1990.247289,1,1779.80772
40000,1,1790.073105
1247.038902,1,1798.010546
40000,1,1818.202178
40000,1,1830.39447
2982.354982,1,1858.382075
1201.470524,1,1861.891657
40000,1,1874.265531
40000,1,1890.801905
40000,1,1901.813562
1544.378726,1,1910.256175
1199.462244,1,1917.519957
40000,1,1935.96976
40000,1,1949.259207
40000,1,1957.971678
40000,1,1967.198183
40000,1,1987.496358
40000,1,2004.145418
40000,1,2020.488557
3008.92717,1,2044.222727
40000,1,2053.613081
40000,1,2069.764045
40000,1,2076.722456
40000,1,2085.850638
40000,1,2102.658409
40000,1,2121.650457
40000,1,2129.87623
2623.523739,1,2146.214227
1580.508812,1,2158.259614
40000,1,2168.156144
40000,1,2182.109204
40000,1,2201.299124
40000,1,2211.244576
40000,1,2227.420918
40000,1,2251.08011
40000,1,2260.638164
40000,1,2277.20681
40000,1,2287.677167
2965.41165,1,2309.615101
40000,1,2324.274824
2975.095079,1,2341.154634
40000,1,2353.024928
40000,1,2365.20017
40000,1,2373.299818
40000,1,2380.515245
40000,1,2393.957118
40000,1,2419.970592
40000,1,2432.463229
40000,1,2450.949108
40000,1,2461.803146
3016.847795,1,2487.369616
2967.837587,1,2499.576331
40000,1,2505.935312
40000,1,2521.68896
2985.798284,1,2539.254825
40000,1,2545.535596
2964.025372,1,2560.652309
1226.972996,1,2564.790246
40000,1,2581.001585
40000,1,2593.580092
40000,1,2612.50112
40000,1,2630.065899
2975.010275,1,2656.683931
40000,1,2664.848719
40000,1,2685.160294
40000,1,2693.93698
1303.245903,1,2705.194177
40000,1,2720.098153
40000,1,2735.237247
2964.712326,1,2755.738818
40000,1,2761.976685
40000,1,2775.937215
40000,1,2788.791853
40000,1,2806.032463
40000,1,2821.252378
40000,1,2839.160393
1214.435168,1,2859.194007
40000,1,2873.220062
40000,1,2888.381232
40000,1,2898.570201
2968.280128,1,2923.987011
40000,1,2934.412521
2400.253232,1,2953.372916
40000,1,2962.585448
40000,1,2972.102978
40000,1,2987.792679
40000,1,2999.39221
2966.63225,1,3015.846178
40000,1,3023.216748
1227.772878,1,3036.292127
40000,1,3053.077688
40000,1,3073.602478
40000,1,3083.292335
40000,1,3094.359704
40000,1,3101.469639
40000,1,3117.288233
40000,1,3123.748437
40000,1,3137.622575
40000,1,3157.63145
40000,1,3169.86082
40000,1,3191.346307
40000,1,3203.296559
40000,1,3214.165854
40000,1,3232.677999
40000,1,3248.428799
40000,1,3260.07811
40000,1,3275.796384
40000,1,3286.391973
40000,1,3305.06516
40000,1,3320.595955
2977.240576,1,3342.731784
40000,1,3349.85452
40000,1,3359.005653
40000,1,3367.479086
40000,1,3376.818954
40000,1,3392.049377
2959.356488,1,3416.070321
40000,1,3423.353096
40000,1,3443.406069
40000,1,3453.364946
40000,1,3462.117418
40000,1,3477.44902
40000,1,3492.140935
40000,1,3505.666184
40000,1,3518.293566
40000,1,3531.086613
40000,1,3545.940007
40000,1,3564.32701
40000,1,3572.137404
40000,1,3586.755746
2536.477674,1,3602.695657
40000,1,3613.032248
40000,1,3618.998762
40000,1,3627.875522
40000,1,3644.353895
40000,1,3658.776727
40000,1,3668.989315
40000,1,3685.797549
40000,1,3698.396754
40000,1,3713.483286
40000,1,3727.998148
40000,1,3737.905209
40000,1,3752.953531
40000,1,3762.213287
40000,1,3776.924868
40000,1,3783.649424
40000,1,3793.893273
40000,1,3802.154669
40000,1,3812.893333
40000,1,3825.780136
40000,1,3840.522429
2988.061754,1,3863.26685
40000,1,3871.419922
40000,1,3880.379781
40000,1,3899.442194
40000,1,3910.513806
40000,1,3916.850939
3015.59244,1,3943.858541
40000,1,3950.953249
40000,1,3963.260928
2963.103642,1,3989.862899
2973.038985,1,4004.255552
2985.56173,1,4021.119376
40000,1,4029.085137
40000,1,4046.084838
40000,1,4058.714574
40000,1,4070.843042
40000,1,4083.792724
40000,1,4097.484583
40000,1,4113.091893
40000,1,4126.765499
40000,1,4137.235197
40000,1,4147.77552
40000,1,4163.079835
40000,1,4179.443653
2973.124966,1,4209.41591
40000,1,4215.77939
40000,1,4223.040154
2971.716028,1,4261.28888
2977.058708,1,4276.572505
40000,1,4288.181477
40000,1,4304.93103
40000,1,4327.254147
2958.02481,1,4344.490156
40000,1,4354.300474
40000,1,4373.743049
40000,1,4386.925417
40000,1,4399.250281
40000,1,4410.119035
2965.182163,1,4432.573464
40000,1,4439.852376
40000,1,4455.337615
40000,1,4471.801041
40000,1,4490.281305
40000,1,4499.118317
40000,1,4505.373689
40000,1,4517.889181
40000,1,4536.419029
40000,1,4554.404797
40000,1,4561.752836
40000,1,4577.897622
40000,1,4588.91685
40000,1,4596.147523
40000,1,4612.542933
40000,1,4630.198066
2962.002578,1,4652.067202
40000,1,4661.942858
40000,1,4675.177701
40000,1,4684.582964
2960.449965,1,4709.026153
40000,1,4715.029569
40000,1,4729.670187
40000,1,4737.240489
40000,1,4751.029
40000,1,4760.141926
40000,1,4769.939201
40000,1,4781.261816
40000,1,4798.42385
40000,1,4814.171757
40000,1,4825.785529
2962.139967,1,4842.451753
40000,1,4848.377557
2980.019866,1,4877.782625
40000,1,4885.61922
40000,1,4904.007567
40000,1,4918.529497
40000,1,4931.853137
40000,1,4941.066564
40000,1,4956.190417
40000,1,4972.204468
40000,1,4988.521292
40000,1,5001.416065
40000,1,5012.887372
40000,1,5031.791893
40000,1,5051.618393
40000,1,5056.617774
40000,1,5085.625446
40000,1,5099.514546
40000,1,5112.105034
40000,1,5124.795595
2966.440226,1,5146.339517
40000,1,5153.830959
40000,1,5168.833649
2662.079868,1,5197.83751
40000,1,5204.797268
40000,1,5214.352108
40000,1,5225.908252
40000,1,5241.003671
40000,1,5249.450049
40000,1,5261.059459
40000,1,5272.737692
