Max Reward,[1176.46227615, 1190.3664977, 1191.37487, 1198.1708887500001, 1265.5748091499997, 1314.27678875, 1379.4955523500003, 1402.62317165, 1441.71534095, 1534.3827909, 3360.3002685, 5900.6106997, 6370.071729900001, 8319.5882159, 15734.072094700003, 15810.574075249999, 17651.963663000002, 17652.0317725, 17679.61923975, 17683.62389, 19542.785586100003, 19551.8314365, 19556.62266195, 19560.1703422]
Episode,[20, 40, 80, 100, 560, 1360, 1680, 1700, 1740, 1800, 1900, 2140, 2760, 2860, 3340, 3840, 3960, 4080, 4800, 5060, 5160, 6880, 7320, 11140]
